id_old,id_new
614,555
615,645
526,192
527,602
415,204
416,204
383,280
384,646
752,646
754,646
529,603
530,645
426,652
427,646
317,645
318,522
411,242
412,242
277,675
278,675
716,634
718,430
322,258
323,645
224,259
450,259
382,280
324,645
695,301
696,301
440,309
441,309
616,634
610,555
611,634
438,331
439,331
533,544
755,345
757,345
387,358
388,358
319,522
320,364
617,634
618,638
667,552
197,374
198,374
535,381
536,652
208,647
209,390
210,390
587,634
588,634
689,634
294,421
295,421
677,652
678,652
299,428
300,428
598,430
599,595
693,430
694,430
720,430
227,331
228,331
233,457
234,457
240,672
270,522
296,634
297,597
532,572
629,544
630,544
325,634
326,634
632,634
711,634
713,628
372,635
373,552
600,553
601,553
546,634
547,583
613,555
621,572
622,572
607,573
608,573
541,634
542,579
314,580
548,589
321,584
334,585
335,585
545,634
549,589
712,589
714,634
311,592
312,592
329,573
330,430
201,553
202,553
619,638
620,553
528,603
291,645
292,645
328,430
609,555
531,572
738,645
740,645
451,634
341,553
342,553
434,628
435,628
715,628
286,544
287,544
187,634
663,634
664,634
371,635
668,638
669,638
195,642
196,642
604,645
670,645
671,645
206,646
207,647
211,651
212,652
213,652
537,657
218,653
709,653
520,654
521,654
538,657
539,657
265,634
266,634
419,634
612,634
703,634
241,634
540,634
238,645
239,645
289,672
290,645
623,645
248,672
244,674
245,675
249,674
247,652
251,652
252,652
261,634
262,634
688,634
271,692
327,430
275,430
723,430
725,430
734,430
736,430
